Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Categoria 2,Categoria 2 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
BA,Brasil,Nordeste,BA,,51895,Feminino,2,Estadual,2,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,279,Feminino,2,Federal,1,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,118512,Feminino,2,Municipal,3,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,3941,Feminino,2,Privada,4,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,50949,Masculino,1,Estadual,2,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,107,Masculino,1,Federal,1,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,115536,Masculino,1,Municipal,3,Educação Básica,Educação de Jovens e Adultos - EJA
BA,Brasil,Nordeste,BA,,3792,Masculino,1,Privada,4,Educação Básica,Educação de Jovens e Adultos - EJA
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Total,345011,,,,,,
