Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Nordeste;Brasil;Nordeste;;;96018;15 a 17 anos;6002;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;101;15 a 17 anos;6002;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;207882;15 a 17 anos;6002;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;6347;15 a 17 anos;6002;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;120221;18 a 19 anos;6003;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;411;18 a 19 anos;6003;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;78987;18 a 19 anos;6003;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;7061;18 a 19 anos;6003;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;139089;20 a 24 anos;6004;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1636;20 a 24 anos;6004;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;89067;20 a 24 anos;6004;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;7622;20 a 24 anos;6004;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;74694;25 a 29 anos;6005;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1162;25 a 29 anos;6005;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;78510;25 a 29 anos;6005;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;4991;25 a 29 anos;6005;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;54385;30 a 34 anos;6006;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1000;30 a 34 anos;6006;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;83239;30 a 34 anos;6006;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;4332;30 a 34 anos;6006;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;38689;35 a 39 anos;6007;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;657;35 a 39 anos;6007;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;75771;35 a 39 anos;6007;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;3498;35 a 39 anos;6007;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;63764;40 anos ou mais;6008;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;884;40 anos ou mais;6008;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;233671;40 anos ou mais;6008;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;7156;40 anos ou mais;6008;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;7465;Até 14 anos;6001;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;4;Até 14 anos;6001;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;30738;Até 14 anos;6001;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;634;Até 14 anos;6001;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
