Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Salvador;Brasil;Nordeste;BA;Salvador;132;Amarela;4;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;37;Amarela;4;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;104;Amarela;4;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;738;Branca;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;3;Branca;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;386;Branca;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;573;Branca;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;36;Indígena;5;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;27;Indígena;5;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;36;Indígena;5;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;5739;Não declarada;10;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;40;Não declarada;10;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;1310;Não declarada;10;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;851;Não declarada;10;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;13907;Parda;3;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;5;Parda;3;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;6048;Parda;3;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;3107;Parda;3;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;7721;Preta;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;8;Preta;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;3101;Preta;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Salvador;Brasil;Nordeste;BA;Salvador;1212;Preta;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
